3456	1464
1511	9321
1401	2434
3589	1844
1747	8338
3395	991
921	1829
3281	10603
2772	4172
1330	5723
607	7922
58	1704
13	10706
500	3103
1200	5200
770	3462
1640	168
982	1376
299	2574
3288	5999
1653	1614
991	10807
281	6866
3252	1479
1856	8020
1135	4836
2717	8843
3203	548
3494	987
2781	7469
3517	7132
1517	4647
1937	6213
3168	10048
3041	6605
2834	3684
382	635
665	9216
2045	578
3495	524
483	5607
504	11097
875	9592
2443	5544
470	8914
653	7356
1131	7405
2429	11132
3526	7249
188	6465
134	6856
61	2502
441	9045
727	5198
3078	1360
416	5149
2095	7774
2832	8422
2281	2287
3502	7110
1793	5231
2260	9415
2078	0
803	4437
3300	9197
3420	5846
2492	1172
3209	11103
3188	6244
2144	7100
1025	6753
3581	9535
1506	4073
380	8989
3348	1095
842	2239
2611	10268
307	11269
453	10738
256	6027
1034	10808
505	7922
2586	8122
1685	562
1612	5046
3419	4452
2908	7820
2099	10913
420	4862
310	8644
1326	6176
60	1335
1157	6904
1882	7522
302	3758
1682	10635
3712	2690
2648	59
2788	5910
344	9121
2456	11103
665	8374
2575	5052
1022	4218
799	9753
3617	10811
3152	1151
263	1616
124	1985
131	2794
188	2718
3617	6276
2414	2113
303	2833
2128	665
1142	352
2325	10485
1349	2259
1836	8668
1439	4160
731	8914
3712	524
2402	9000
3180	890
2240	1055
296	6169
348	7710
1560	3761
3618	9216
240	8357
1423	2176
2300	5650
2459	1725
1557	1515
1106	452
1544	10667
1541	4954
2111	8606
1208	10617
2523	15
2439	10657
4	1034
2030	4923
281	713
2428	5745
286	2922
240	7538
3350	9035
671	7102
3580	9146
2712	3492
3254	1351
1968	337
366	3754
3712	3857
923	8686
859	6715
3381	198
2185	7537
910	10505
3674	6485
2965	1254
2416	4907
2685	9195
448	4515
911	7401
3329	1246
3355	7132
1935	2704
1519	1544
1852	1657
3230	8706
3036	6015
1910	6396
3440	10514
18	1822
734	11207
3159	7791
1681	7017
240	9651
2520	2651
126	325
2010	8832
2268	6985
2389	7452
1282	7030
1486	8337
3020	353
2663	3349
3607	10294
708	836
3152	1814
3591	1931
1958	7970
2235	6784
1670	3854
374	1358
964	5864
296	5780
1743	6351
1203	496
2329	11050
398	3761
1077	1666
990	3823
3117	4591
2006	2219
1895	7901
1967	10543
2662	7595
2091	1560
3145	5136
2706	2306
2782	6753
1163	432
902	2827
982	7076
441	590
1728	2250
365	2669
1286	2395
1350	7437
2353	7067
2086	4
1843	5589
2420	6342
2253	2007
1342	1554
3131	5395
2615	2186
375	733
518	7278
2910	3758
3232	3025
3641	5058
2251	2828
2596	5068
2726	6142
2522	1561
603	2997
971	2662
3550	7452
1405	7465
1973	1100
2200	8353
1083	5702
1469	10418
229	10083
6	10841
2530	3400
2569	10511
3376	7606
3695	1500
1864	3344
2157	10101
1003	1888
2865	2352
1673	8884
658	1876
2798	10487
2343	8965
1246	6488
1070	7053
2646	1678
2814	529
2001	5886
1444	8569
1407	949
709	9851
1023	4300
1760	2466
2176	7132
1075	7624
3244	3407
1710	11276
1143	9141
2432	3739
3675	7032
2506	3655
2111	6214
3427	2254
910	9780
379	5130
910	3479
2453	1885
2370	5911
1734	7747
1351	7151
1117	7252
2939	9113
2523	1645
1917	3008
1940	1539
259	9956
972	9925
1592	7209
187	7862
1184	7877
2717	2629
2870	4189
1863	5998
1972	5278
3105	3642
2414	6108
3418	8648
944	5147
